count,world_name,world_id,favorites,platforms,thumbnail,world_url,fetch_date
1,VRoidCafe,wrld_123b50f9-6946-4955-a950-ac6ae218d9af,69,"{'pc': True, 'android': True, 'ios': False}",VRoidCafe_thumbnail.png,https://vrchat.com/home/world/wrld_123b50f9-6946-4955-a950-ac6ae218d9af,2025-12-15 00:31:23.405701+09:00
1,雪消雨の降る頃に,wrld_78443391-7a1f-44e4-a3c9-6fef1c9d2946,276,"{'pc': True, 'android': True, 'ios': True}",雪消雨の降る頃に_thumbnail.png,https://vrchat.com/home/world/wrld_78443391-7a1f-44e4-a3c9-6fef1c9d2946,2025-12-15 00:31:22.344809+09:00
1,銀山温泉 Ginzan Onsen,wrld_792e5ff4-bf99-4a06-8f6d-ef57a1e87447,817,"{'pc': True, 'android': False, 'ios': False}",銀山温泉 Ginzan Onsen_thumbnail.png,https://vrchat.com/home/world/wrld_792e5ff4-bf99-4a06-8f6d-ef57a1e87447,2025-12-15 00:26:04.690923+09:00
1,Japanese Alley - VRC Light Volumes 2․0 Test,wrld_af756ca8-30ee-41a4-b304-2207ebf79db9,2688,"{'pc': True, 'android': False, 'ios': False}",Japanese Alley - VRC Light Volumes 2․0 Test_thumbnail.png,https://vrchat.com/home/world/wrld_af756ca8-30ee-41a4-b304-2207ebf79db9,2025-12-15 00:25:59.364368+09:00
1,Hideout of Black Sheep,wrld_06354c95-8ed9-419f-a24d-182b7be2cee5,141,"{'pc': True, 'android': True, 'ios': False}",Hideout of Black Sheep_thumbnail.png,https://vrchat.com/home/world/wrld_06354c95-8ed9-419f-a24d-182b7be2cee5,2025-12-15 00:25:57.238311+09:00
1,Lounge,wrld_d51c646f-24c8-475e-bb67-73c3023bb97a,167,"{'pc': True, 'android': True, 'ios': False}",Lounge_thumbnail.png,https://vrchat.com/home/world/wrld_d51c646f-24c8-475e-bb67-73c3023bb97a,2025-12-15 00:25:53.016900+09:00
1,思い寝-omoine-,wrld_b95f863c-fc88-4ac1-b4c0-d15b4383b0d2,7958,"{'pc': True, 'android': True, 'ios': False}",思い寝-omoine-_thumbnail.png,https://vrchat.com/home/world/wrld_b95f863c-fc88-4ac1-b4c0-d15b4383b0d2,2025-12-15 00:31:21.217317+09:00
1,別邸 笹音-sasane-,wrld_6093ac58-7d48-43a6-b088-5cb365732ec8,3961,"{'pc': True, 'android': True, 'ios': False}",別邸 笹音-sasane-_thumbnail.png,https://vrchat.com/home/world/wrld_6093ac58-7d48-43a6-b088-5cb365732ec8,2025-12-15 00:31:19.081154+09:00
1,自宅カフェ 清明-seimei-,wrld_8e98585a-ea97-4797-82db-8b01ef0fd9c5,10186,"{'pc': True, 'android': False, 'ios': False}",自宅カフェ 清明-seimei-_thumbnail.png,https://vrchat.com/home/world/wrld_8e98585a-ea97-4797-82db-8b01ef0fd9c5,2025-12-15 00:31:16.962692+09:00
1,旅するフクロウの空 Skyport,wrld_38afca54-a8d0-4c0f-a311-22862b34e6f2,3702,"{'pc': True, 'android': True, 'ios': False}",旅するフクロウの空 Skyport_thumbnail.png,https://vrchat.com/home/world/wrld_38afca54-a8d0-4c0f-a311-22862b34e6f2,2025-12-15 00:31:14.774908+09:00
1,․⁄ corrosion,wrld_a518b3ce-4456-4d0e-8bf1-c5c3798ac9d7,3920,"{'pc': True, 'android': False, 'ios': False}",․⁄ corrosion_thumbnail.png,https://vrchat.com/home/world/wrld_a518b3ce-4456-4d0e-8bf1-c5c3798ac9d7,2025-12-15 00:31:12.596035+09:00
